SKU,Quantity,Barcode,Title,UpdatedAt
1121-0002-0072,0,841298115843,"1121 Series Low-Side U-Channel (2 Hole, 72mm Length)",2026-05-04 21:43:11
1121-0004-0120,0,841298115867,"1121 Series Low-Side U-Channel (4 Hole, 120mm Length)",2026-05-04 21:43:11
1121-0006-0168,0,841298128416,"1121 Series Low-Side U-Channel (6 Hole, 168mm Length)",2026-05-04 21:43:11
1121-0007-0192,0,841298115881,"1121 Series Low-Side U-Channel (7 Hole, 192mm Length)",2026-05-04 21:43:11
1121-0008-0216,0,841298128409,"1121 Series Low-Side U-Channel (8 Hole, 216mm Length)",2026-05-04 21:43:11
1121-0018-0456,0,841298128355,"1121 Series Low-Side U-Channel (18 Hole, 456mm Length)",2026-05-04 21:43:11
1121-0021-0528,0,841298115942,"1121 Series Low-Side U-Channel (21 Hole, 528mm Length)",2026-05-04 21:43:11
1122-0005-0144,0,841298132833,"1122 Series Rail-Channel (5 Hole, 144mm Length)",2026-05-04 21:43:11
1122-0007-0192,0,841298132857,"1122 Series Rail-Channel (7 Hole, 192mm Length)",2026-05-04 21:43:11
1122-0009-0240,0,841298132871,"1122 Series Rail-Channel (9 Hole, 240mm Length)",2026-05-04 21:43:11
1122-0012-0312,0,841298132901,"1122 Series Rail-Channel (12 Hole, 312mm Length)",2026-05-04 21:43:11
1122-0045-1104,0,841298133038,"1122 Series Rail-Channel (45 Hole, 1104mm Length)",2026-05-04 21:43:11
1122-0049-1200,0,841298133045,"1122 Series Rail-Channel (49 Hole, 1200mm Length)",2026-05-04 21:43:11
1123-0043-0096,0,841298135230,"1123 Series Pattern Plate (1 x 3 Hole, 43 x 96mm)",2026-05-04 21:43:11
1123-0043-0240,0,841298135261,"1123 Series Pattern Plate (1 x 9 Hole, 43 x 240mm)",2026-05-04 21:43:11
1123-0048-0048,0,841298113450,"1123 Series Pattern Plate (1 x 1 Hole, 48 x 48mm)",2026-05-04 21:43:11
1123-0048-0240,0,841298119698,"1123 Series Pattern Plate (1 x 9 Hole, 48 x 240mm)",2026-05-04 21:43:11
1123-0096-0096,0,841298135490,"1123 Series Pattern Plate (3 x 3 Hole, 96 x 96mm)",2026-05-04 21:43:11
1126-0090-0001,0,,Steel Gusset-Plate (3 x 3 Hole) - 4 Pack,2026-05-04 21:43:11
1137-0002-0001,0,841298122131,1137 Series Steel Flat Grid Bracket (2-1) - 2 Pack,2026-05-04 21:43:11
1139-0040-0056,0,841298125101,"1139 Series Steel Grid Plates (5 x 7 Hole, 40 x 56mm) - 2 Pack",2026-05-04 21:43:11
1143-0003-0096,0,841298135698,"1143 Series Mini Low-Side U-Channel (3 Hole, 96mm Length)",2026-05-04 21:43:11
1143-0008-0216,0,841298135742,"1143 Series Mini Low-Side U-Channel (8 Hole, 216mm Length)",2026-05-04 21:43:11
1143-0012-0312,0,,"1143 Series Mini Low-Side U-Channel (12 Hole, 312mm Length)",2026-05-04 21:43:11
1143-0015-0384,0,841298135810,"1143 Series Mini Low-Side U-Channel (15 Hole, 384mm Length)",2026-05-04 21:43:11
1143-0017-0432,0,841298135834,"1143 Series Mini Low-Side U-Channel (17 Hole, 432mm Length)",2026-05-04 21:43:11
1147-0001-0001,0,841298140135,Threaded Steel L-Bracket (1 Hole) - 12 Pack,2026-05-04 21:43:11
1147-0001-0003,0,,Threaded Steel L-Bracket (3 Hole) - 4 Pack,2026-05-04 21:43:11
1200-0024-0001,0,841298118103,"1200 Series 1-Side, 2-Post Pattern Mount (24-1)",2026-05-04 21:43:11
1201-0024-0001,0,841298131768,1201 Series Quad Block Pattern Mount (24-1),2026-05-04 21:43:11
1201-0027-0001,0,841298129093,1201 Series Quad Block Pattern Mount (27-1),2026-05-04 21:43:11
1201-0043-0002,0,841298118134,1201 Series Quad Block Pattern Mount (43-2),2026-05-04 21:43:11
1203-0001-0001,0,841298113696,1203 Series Block Mount (1-1) - 4 Pack,2026-05-04 21:43:11
1205-0001-0001,0,841298110435,1205 Series Dual Block Mount (1-1) - 2 Pack,2026-05-04 21:43:11
1205-0001-0003,0,841298110442,1205 Series Dual Block Mount (1-3) - 2 Pack,2026-05-04 21:43:11
1205-0002-0001,0,841298136008,1205 Series Dual Block Mount (2-1) - 2 Pack,2026-05-04 21:43:11
1206-0016-0002,0,841298116291,1206 Series Pattern Adaptor (16-2),2026-05-04 21:43:11
1206-0016-0009,0,841298130914,Threaded REV to Thru-Hole goBILDA® Pattern Adaptor,2026-05-04 21:43:11
1206-0016-0012,0,841298140500,Thru-Hole AndyMark Robits to Threaded goBILDA® Pattern Adaptor,2026-05-04 21:43:11
1209-0032-0001,0,841298116475,Hook & Loop Cinch-Strap with Mounting Plates,2026-05-04 21:43:11
1211-0001-0001,0,841298116093,1211 Series Angle Mount (1-1),2026-05-04 21:43:11
1224-0016-0002,0,841298124371,"Motor Controller Mount for Basic Micro RoboClaw 2x15A, 2x30A, 2x45A",2026-05-04 21:43:11
1301-0016-0014,0,841298116741,1301 Series Clamping Hub (14mm Bore),2026-05-04 21:43:11
1302-0032-0032,0,841298113818,1302 Series Clamping Hub (32mm Bore),2026-05-04 21:43:11
1305-0032-0022,0,841298113849,1305 Series Thru-Hole Clamping Hub (22mm Bore),2026-05-04 21:43:11
1308-0016-0006,0,841298122667,1308 Series Lightweight Set-Screw Hub (6mm Bore),2026-05-04 21:43:11
1308-0016-0187,0,841298130723,"1308 Series Lightweight Set-Screw Hub (3/16"" Bore)",2026-05-04 21:43:11
1309-0016-0008,0,841298130754,1309 Series Sonic Hub (8mm Bore),2026-05-04 21:43:11
1309-0016-4008,0,841298126771,1309 Series Sonic Hub (8mm REX® Bore),2026-05-04 21:43:11
1310-0016-0008,0,841298120649,1310 Series Hyper Hub (8mm Bore),2026-05-04 21:43:11
1310-0016-0500,0,841298130808,"1310 Series Hyper Hub (1/2"" Bore)",2026-05-04 21:43:11
1310-0016-2005,0,841298130211,1310 Series Hyper Hub (5mm Hex Bore),2026-05-04 21:43:11
1310-0016-4008,0,841298127631,1310 Series Hyper Hub (8mm REX® Bore),2026-05-04 21:43:11
1310-0016-4012,0,841298124418,1310 Series Hyper Hub (12mm REX® Bore),2026-05-04 21:43:11
1310-0016-5008,0,841298127143,"1310 Series Hyper Hub (4 Start, 8mm Lead Screw Bore)",2026-05-04 21:43:11
1312-0016-1006,0,841298119148,1312 Series Double Sonic Hub (6mm D-Bore),2026-05-04 21:43:11
1313-1632-4008,0,841298131362,1313 Series Hyper Hub (8mm REX® Bore),2026-05-04 21:43:11
1314-0016-0250,0,841298135902,"1314 Series Steel Set-Screw Hub (1/4"" Bore)",2026-05-04 21:43:11
1315-0016-4008,0,841298136060,1315 Series Polycarbonate Hyper Hub (8mm REX® Bore) - 2 Pack,2026-05-04 21:43:11
1400-0032-0008,0,841298110299,"1400 Series 1-Side, 2-Post Clamping Mount (8mm Bore)",2026-05-04 21:43:11
1400-0032-0014,0,841298116086,"1400 Series 1-Side, 2-Post Clamping Mount (14mm Bore)",2026-05-04 21:43:11
1400-0032-0021,0,841298110329,"1400 Series 1-Side, 2-Post Clamping Mount (21mm Bore)",2026-05-04 21:43:11
1401-0043-0036,0,841298124937,"1401 Series 2-Side, 2-Post Clamping Mount (43mm Width, 36mm Bore)",2026-05-04 21:43:11
1402-0043-0006,0,841298118592,"1402 Series 2-Side, 1-Post Clamping Mount (43mm Width, 6mm Bore)",2026-05-04 21:43:11
1402-0043-0012,0,841298118615,"1402 Series 2-Side, 1-Post Clamping Mount (43mm Width, 12mm Bore)",2026-05-04 21:43:11
1500-0010-0005,0,841298109446,"1500 Series Plastic Spacer (5mm ID x 7mm OD, 1mm Thickness) - 12 Pack",2026-05-04 21:43:11
1501-0006-0030,0,841298110664,"1501 Series M4 x 0.7mm Standoff (6mm OD, 3mm Length) - 4 Pack",2026-05-04 21:43:11
1501-0006-0050,0,841298110688,"1501 Series M4 x 0.7mm Standoff (6mm OD, 5mm Length) - 4 Pack",2026-05-04 21:43:11
1501-0006-0070,0,841298110701,"1501 Series M4 x 0.7mm Standoff (6mm OD, 7mm Length) - 4 Pack",2026-05-04 21:43:11
1501-0006-0180,0,841298110787,"1501 Series M4 x 0.7mm Standoff (6mm OD, 18mm Length) - 4 Pack",2026-05-04 21:43:11
1501-0006-0190,0,841298128317,"1501 Series M4 x 0.7mm Standoff (6mm OD, 19mm Length) - 4 Pack",2026-05-04 21:43:11
1501-0006-0240,0,841298110817,"1501 Series M4 x 0.7mm Standoff (6mm OD, 24mm Length) - 4 Pack",2026-05-04 21:43:11
1501-0006-0380,0,841298110886,"1501 Series M4 x 0.7mm Standoff (6mm OD, 38mm Length) - 4 Pack",2026-05-04 21:43:11
1501-0006-0430,0,841298110916,"1501 Series M4 x 0.7mm Standoff (6mm OD, 43mm Length) - 4 Pack",2026-05-04 21:43:11
1501-0006-0500,0,841298126290,"1501 Series M4 x 0.7mm Standoff (6mm OD, 50mm Length) - 4 Pack",2026-05-04 21:43:11
1502-0006-0040,0,841298105868,"1502 Series 4mm ID Spacer (6mm OD, 4mm Length) - 4 Pack",2026-05-04 21:43:11
1502-0006-0060,0,841298105882,"1502 Series 4mm ID Spacer (6mm OD, 6mm Length) - 4 Pack",2026-05-04 21:43:11
1502-0006-0090,0,841298105912,"1502 Series 4mm ID Spacer (6mm OD, 9mm Length) - 4 Pack",2026-05-04 21:43:11
1502-0006-0240,0,841298106001,"1502 Series 4mm ID Spacer (6mm OD, 24mm Length) - 4 Pack",2026-05-04 21:43:11
1502-0006-0320,0,841298124012,"1502 Series 4mm ID Spacer (6mm OD, 32mm Length) - 4 Pack",2026-05-04 21:43:11
1503-5100-6190,0,841298110640,"1503 Series M4 x 0.7mm Shoulder Standoff (5-6mm OD, 10-19mm Length) - 4 Pack",2026-05-04 21:43:11
1503-6100-8190,0,841298116314,"1503 Series M4 x 0.7mm Shoulder Standoff (6-8mm OD, 10-19mm Length) - 4 Pack",2026-05-04 21:43:11
1511-0032-0060,0,841298116307,1511 Series 32mm OD Counterbored Pattern Spacer (6mm Length),2026-05-04 21:43:11
1512-0008-0060,0,841298126351,"1512 Series 6mm ID Spacer (8mm OD, 6mm Length) - 4 Pack",2026-05-04 21:43:11
1514-0010-0080,0,841298120564,"1514 Series 8mm ID Spacer (10mm OD, 8mm Length) - 4 Pack",2026-05-04 21:43:11
1515-0015-0120,0,841298132109,"12mm ID Steel Spacer (15mm OD, 12mm Length) - 4 Pack",2026-05-04 21:43:11
1516-4008-0080,0,841298127679,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 8mm Length) - 4 Pack",2026-05-04 21:43:11
1516-4008-0240,0,841298127709,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 24mm Length) - 4 Pack",2026-05-04 21:43:11
1516-4008-0280,0,841298133328,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 28mm Length) - 4 Pack",2026-05-04 21:43:11
1516-4008-0300,0,841298133335,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 30mm Length) - 4 Pack",2026-05-04 21:43:11
1516-4008-0500,0,841298133403,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 50mm Length) - 4 Pack",2026-05-04 21:43:11
1516-4008-0560,0,841298127754,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 56mm Length) - 4 Pack",2026-05-04 21:43:11
1516-4008-0880,0,841298131492,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 88mm Length) - 4 Pack",2026-05-04 21:43:11
1516-4008-1440,0,841298131515,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 144mm Length) - 4 Pack",2026-05-04 21:43:11
1516-4008-1920,0,841298131539,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 192mm Length) - 4 Pack",2026-05-04 21:43:11
1516-4008-2160,0,841298131546,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 216mm Length) - 4 Pack",2026-05-04 21:43:11
1520-4012-0120,0,841298134554,"8mm REX® Plastic Spacer (12mm REX OD, 12mm Length) - 12 Pack",2026-05-04 21:43:11
1520-4012-0160,0,,"8mm REX® Plastic Spacer (12mm REX® OD, 16mm Length) - 12 Pack",2026-05-04 21:43:11
1521-0008-0040,0,841298131188,"1521 Series 6mm ID Spacer (8mm OD, 4mm Length) - 4 Pack",2026-05-04 21:43:11
1521-0008-0060,0,841298131195,"1521 Series 6mm ID Spacer (8mm OD, 6mm Length) - 4 Pack",2026-05-04 21:43:11
1521-0008-0120,0,841298131218,"1521 Series 6mm ID Spacer (8mm OD, 12mm Length) - 4 Pack",2026-05-04 21:43:11
1522-0010-0020,0,841298119124,"1522 Series 8mm ID Spacer (10mm OD, 2mm Length) - 4 Pack",2026-05-04 21:43:11
1522-0010-0060,0,841298131232,"1522 Series 8mm ID Spacer (10mm OD, 6mm Length) - 4 Pack",2026-05-04 21:43:11
1526-0032-0100,0,841298131775,1526 Series 32mm OD Plastic Pattern Spacer (10mm Length) - 2 Pack,2026-05-04 21:43:11
1529-0012-0300,0,841298137098,"8mm ID Steel Spacer (12mm OD, 30mm Length) - 4 Pack",2026-05-04 21:43:11
1529-0012-0480,0,841298136794,"8mm ID Steel Spacer (12mm OD, 48mm Length) - 4 Pack",2026-05-04 21:43:11
1530-0008-0430,0,841298137036,"4mm ID Aluminum Spacer (8mm OD, 43mm Length) - 4 Pack",2026-05-04 21:43:11
1531-0032-0020,0,841298138194,"Steel Pattern Spacer (14mm Bore, 32mm OD, 2mm Thickness) - 2 Pack",2026-05-04 21:43:11
1600-0416-0004,0,841298122285,"4mm ID Non-Flanged Ball Bearing (16mm OD, 4mm Thickness) - 2 Pack",2026-05-04 21:43:11
1601-0014-0004,0,841298109941,"4mm ID Flanged Ball Bearing (14mm OD, 5mm Thickness) - 2 Pack",2026-05-04 21:43:11
1603-0032-0003,0,841298113948,1603 Series Face Thru-Hole Pillow Block (3mm Bore),2026-05-04 21:43:11
1603-0032-0006,0,841298113979,6mm Bore Face Thru-Hole Pillow Block (32mm x 32mm Mounting Pattern),2026-05-04 21:43:11
1603-0032-0032,0,841298111128,1603 Series Face Thru-Hole Pillow Block (32mm Bore),2026-05-04 21:43:11
1605-0024-0004,0,841298138224,"4mm Bore 1-Side, 1-Post Pillow Block (24mm Height)",2026-05-04 21:43:11
1605-0024-0006,0,841298109071,"6mm Bore 1-Side, 1-Post Pillow Block (24mm Height)",2026-05-04 21:43:11
1606-0043-0006,0,841298109064,"6mm Bore 2-Side, 1-Post Pillow Block (43mm Width)",2026-05-04 21:43:11
1607-0041-0615,0,841298114037,"6mm Bore Dual Bearing Idler Roller (15mm OD, 41mm Length)",2026-05-04 21:43:11
1608-0001-0001,0,841298127617,"Idler Bearing-Hub (32mm OD, 16mm Height)",2026-05-04 21:43:11
1609-0610-0004,0,,"1609 Series V-Groove Bearing (4mm ID x 10.5mm OD, 6mm Thickness) - 2 Pack",2026-05-04 21:43:11
1611-0514-0006,0,841298116260,"1611 Series Flanged Ball Bearing (6mm ID x 14mm OD, 5mm Thickness) - 2 Pack",2026-05-04 21:43:11
1614-0016-0008,0,,Dual-Bearing Pillow Block (8mm Bore),2026-05-04 21:43:11
1621-1632-0004,0,841298135605,4mm Bore Flat Pillow Block (16mm x 32mm Mounting Pattern) - 2 Pack,2026-05-04 21:43:11
1621-1632-0008,0,841298135636,8mm Bore Flat Pillow Block (16mm x 32mm Mounting Pattern) - 2 Pack,2026-05-04 21:43:11
1622-0032-0012,0,841298136206,"12mm Bore, Heavy-Duty Flange-Mount Bearing Pillow Block",2026-05-04 21:43:11
1700-0016-0011,0,841298114068,1700 Series Face Tapped Stepper Motor Mount (NEMA 11),2026-05-04 21:43:11
1701-0016-0003,0,841298116451,1701 Series Face Tapped Motor Mount (16-3),2026-05-04 21:43:11
1701-0032-0001,0,841298124067,1701 Series Face Tapped Motor Mount (32-1),2026-05-04 21:43:11
1702-0043-0003,0,841298128546,1702 Series Quad Block Motor Mount (43-3),2026-05-04 21:43:11
1802-0043-0001,0,841298114396,"1802 Series Servo Frame (43mm Width, for Standard Size Servos)",2026-05-04 21:43:11
1804-0032-0001,0,841298118905,1804 Series Servo Stand (32-1),2026-05-04 21:43:11
1900-0024-0104,0,841298114419,"1900 Series Single Servo Arm (24 Tooth Spline, 32mm Length)",2026-05-04 21:43:11
1902-0025-0204,0,841298114440,"1902 Series Dual Servo Arm (25 Tooth Spline, 64mm Length)",2026-05-04 21:43:11
1906-0024-0032,0,841298114457,"1906 Series Low-Profile Servo Hub (24 Tooth Spline, 32mm Diameter)",2026-05-04 21:43:11
1910-0025-0816,0,841298132314,"1910 Series Servo Hub Shaft (25 Tooth Spline, 8mm Shaft Diameter, 16mm Length)",2026-05-04 21:43:11
1911-0025-1036,0,841298114525,"10mm Round Servo Shaft (25 Tooth Spline, 36mm Length)",2026-05-04 21:43:11
1917-0014-0072,0,841298133649,Plastic Dual Hub-Mount Control Arm (72mm Length),2026-05-04 21:43:11
1919-0014-0144,0,841298133670,"Plastic Hub-Mount Disc (14mm Bore, 144mm Diameter)",2026-05-04 21:43:11
1920-0032-0096,0,841298133700,"Plastic Hub-Mount Disc (32mm Bore, 96mm Diameter)",2026-05-04 21:43:11
1920-0032-0240,0,841298133731,"Plastic Hub-Mount Disc (32mm Bore, 240mm Diameter)",2026-05-04 21:43:11
1922-0025-0036,0,841298136091,"8mm REX® Servo Shaft (25 Tooth Spline, 36mm Length)",2026-05-04 21:43:11
2000-0025-0002,0,841298124760,"2000 Series Dual Mode Servo (25-2, Torque)",2026-05-04 21:43:11
2000-0025-0503,0,841298135025,"2000 Series 5-Turn, Dual Mode Servo (25-3, Speed)",2026-05-04 21:43:11
2100-0006-0025,0,841298120991,"6mm Shaft (Stainless Steel, 25mm Length)",2026-05-04 21:43:11
2100-0006-0100,0,841298121028,"6mm Shaft (Stainless Steel, 100mm Length)",2026-05-04 21:43:11
2100-0006-0250,0,841298121059,"6mm Shaft (Stainless Steel, 250mm Length)",2026-05-04 21:43:11
2100-0008-0150,0,841298121127,"8mm Shaft (Stainless Steel, 150mm Length)",2026-05-04 21:43:11
2100-0012-0150,0,841298121219,"12mm Shaft (Stainless Steel, 150mm Length)",2026-05-04 21:43:11
2100-0012-0250,0,841298121226,"12mm Shaft (Stainless Steel, 250mm Length)",2026-05-04 21:43:11
2101-0006-0020,0,841298111142,"6mm D-Shaft (Stainless Steel, 20mm Length)",2026-05-04 21:43:11
2101-0006-0060,0,841298111180,"6mm D-Shaft (Stainless Steel, 60mm Length)",2026-05-04 21:43:11
2101-0006-0080,0,841298111203,"6mm D-Shaft (Stainless Steel, 80mm Length)",2026-05-04 21:43:11
