sku,upc,upc_source,missing_upc,url,title
"2202-0102-0201","","","true","https://www.gobilda.com/gobilda-classic-t-shirt-heather-grey-youth-xl","goBILDA® Classic T-Shirt (Youth Sizes)"
"2800-0004-0045","841298116642","meta:gtin","false","https://www.gobilda.com/m4-x-0-7mm-zinc-plated-socket-head-screw-45mm-length-25-pack","M4 x 0.7mm Zinc-Plated Socket Head Screw (45mm Length) - 25 Pack"
"3209-0002-0002","841298137265","meta:gtin","false","https://www.gobilda.com/beeline-chassis-kit-v2","BeeLine Chassis Kit V2"
"3611-0040-0104","841298139849","meta:gtin","false","https://www.gobilda.com/gripforce-mecanum-wheel-roller-pack-40a","GripForce™ Mecanum Wheel Roller Pack (40A)"
"33488","669962334884","meta:gtin","false","https://www.gobilda.com/hitec-hs-488hb-servo","Hitec HS-488HB Servo"
"3118-0808-0001","841298139894","meta:gtin","false","https://www.gobilda.com/led-headlight-400-lumens-dimmable-pwm-controlled","LED Headlight (400 Lumens, Dimmable, PWM Controlled)"
"3429-0002-0002","841298137807","meta:gtin","false","https://www.gobilda.com/belt-drive-upgrade-pack-for-3210-0002-0002-cable-driven-2-stage-viper-slide-kit","Belt-Drive Upgrade Pack for 3210-0002-0002 Cable-Driven 2 Stage Viper-Slide Kit"
"3204-0001-0001","","","true","https://www.gobilda.com/worm-gear-set-24-1-ratio-6mm-d-bore-worm","Worm Gear Set (24:1 Ratio, 6mm D-Bore Worm)"
"1601-0014-0004","841298109941","meta:gtin","false","https://www.gobilda.com/4mm-id-flanged-ball-bearing-14mm-od-5mm-thickness-2-pack","4mm ID Flanged Ball Bearing (14mm OD, 5mm Thickness) - 2 Pack"
"","","","true","https://www.gobilda.com/8mm-pitch-steel-chain","8mm Pitch Chain"
"4100-1012-0200","841298112064","meta:gtin","false","https://www.gobilda.com/4100-series-aluminum-tube-10mm-id-x-12mm-od-200mm-length","4100 Series Aluminum Tube (10mm ID x 12mm OD, 200mm Length)"
"2201-0101-0103","","","true","https://www.gobilda.com/gobilda-dark-matter-hoodie-black-adult-xxxl","goBILDA Dark Matter Hoodie"
"","","","true","https://www.gobilda.com/rd-tensioners-idlers-for-8mm-pitch-chain","Chain Tensioners and Idlers"
"3805-1718-0600","841298123299","meta:gtin","false","https://www.gobilda.com/3-pos-tjc8-servo-y-harness-single-mh-fc-to-dual-fh-mc-600mm-length","3-Pos TJC8 Servo Y-Harness (Single MH-FC to Dual FH-MC, 600mm Length)"
"3109-0004-0001","841298133823","meta:gtin","false","https://www.gobilda.com/servo-commander-v1","Servo Commander [V1]"
"5203-2402-0001","841298130839","meta:gtin","false","https://www.gobilda.com/rd-see-also-5203-series-yellow-jacket-motor-1-1-ratio","5203 Series Yellow Jacket Motor (1:1 Ratio, 24mm Length 8mm REX® Shaft, 6000 RPM, 3.3 - 5V Encoder)"
"2807-0811-0500","841298120458","meta:gtin","false","https://www.gobilda.com/2807-series-stainless-steel-shim-8mm-id-x-11mm-od-0-50mm-thickness-12-pack","2807 Series Stainless Steel Shim (8mm ID x 11mm OD, 0.50mm Thickness) - 12 Pack"
"3118-5555-0001","841298140869","meta:gtin","false","https://www.gobilda.com/prism-rgb-led-strip-104mm-length-6-leds-2-pack","Prism RGB LED Strip (104mm Length, 6 LEDs) - 2 Pack"
"1224-0016-0002","841298124371","meta:gtin","false","https://www.gobilda.com/motor-controller-mount-for-basic-micro-roboclaw-2x15a-2x30a-2x45a","Motor Controller Mount for Basic Micro RoboClaw 2x15A, 2x30A, 2x45A"
"1118-0024-1200","841298115249","meta:gtin","false","https://www.gobilda.com/1118-series-open-gorail-1200mm-length","1118 Series Open goRAIL® (1200mm Length)"
"1308-0016-0006","841298122667","meta:gtin","false","https://www.gobilda.com/1308-series-lightweight-set-screw-hub-6mm-bore","1308 Series Lightweight Set-Screw Hub (6mm Bore)"
"5303-2402-0051","841298134165","meta:gtin","false","https://www.gobilda.com/5303-series-saturn-planetary-gear-motor-50-9-1-ratio-24mm-length-8mm-rex-shaft-360-rpm-3-3-5v-encoder","5303 Series Saturn Planetary Gear Motor (50.9:1 Ratio, 24mm Length 8mm REX™ Shaft, 360 RPM, 3.3 - 5V Encoder)"
"1516-4008-0280","841298133328","meta:gtin","false","https://www.gobilda.com/1516-series-8mm-rex-standoff-m4-x-0-7mm-threads-28mm-length-4-pack","1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 28mm Length) - 4 Pack"
"1516-4008-1920","841298131539","meta:gtin","false","https://www.gobilda.com/1516-series-8mm-rex-standoff-m4-x-0-7mm-threads-192mm-length-4-pack","1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 192mm Length) - 4 Pack"
"3209-0001-0002","841298124517","meta:gtin","false","https://www.gobilda.com/strafer-chassis-kit-v2","Strafer® Chassis Kit V2"
"3413-0001-0002","841298116864","meta:gtin","false","https://www.gobilda.com/acetal-timing-belt-idler-6mm-id-x-12mm-od-18mm-width-1-2-2-pack","Acetal Timing Belt Idler (6mm ID x 12mm OD, 18mm Width, 1-2) - 2 Pack"
"2106-4008-3840","841298141415","meta:gtin","false","https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-384mm-length","8mm REX® Shaft with E-Clip (Stainless Steel, 384mm Length)"
